nodo,direccion,valor_kN
603010,comp_2,-0.0
603010,comp_3,-10.596203
603010,comp_4,-223.972091
603010,comp_5,-0.052482
603011,comp_0,-18.848877
603011,comp_1,-0.40045
603011,comp_2,0.513568
603011,comp_3,-0.12788
603011,comp_4,-99.168622
603011,comp_5,-0.052482
603012,comp_0,-0.0
603012,comp_1,10.596203
603012,comp_2,223.972091
603012,comp_3,0.0
603012,comp_4,93.586254
603012,comp_5,-16.159209
603013,comp_0,0.0
603013,comp_1,0.0
603013,comp_2,19.303893
603013,comp_3,0.0
603013,comp_4,0.0
603013,comp_5,-0.0
603014,comp_0,-239.82634
603014,comp_1,2.576975
603014,comp_2,29.685279
603014,comp_3,26.637653
603014,comp_4,-138.41472
603014,comp_5,-3.035187
603015,comp_0,-0.513568
603015,comp_1,0.12788
603015,comp_2,99.168622
603015,comp_3,-72.979872
603015,comp_4,257.842817
603015,comp_5,-7.352608
603017,comp_0,1.148671
603017,comp_1,-0.122809
603017,comp_2,239.82634
603017,comp_3,-2.576975
603017,comp_4,-29.685279
603017,comp_5,-0.423484
603022,comp_0,-10.271293
603022,comp_1,0.2108
603022,comp_2,-0.0
603022,comp_3,0.0
603022,comp_4,0.0
603022,comp_5,-0.423484
603023,comp_0,-11.613818
603023,comp_1,1.569883
603023,comp_2,0.0
603023,comp_3,0.0
603023,comp_4,0.0
603023,comp_5,-0.423484
603024,comp_0,-9.369746
603024,comp_1,0.574541
603024,comp_2,0.0
603024,comp_3,-0.0
603024,comp_4,-0.0
603024,comp_5,-0.423484
603028,comp_0,24.669997
603028,comp_1,10.886899
603028,comp_2,-0.0
603028,comp_3,0.0
603028,comp_4,0.0
603028,comp_5,-0.423484
603029,comp_0,84.489764
603029,comp_1,2.895178
603029,comp_2,0.0
603029,comp_3,0.0
603029,comp_4,0.0
603029,comp_5,-0.423484
603030,comp_0,32.163106
603030,comp_1,-6.221477
603030,comp_2,-0.0
603030,comp_3,0.0
603030,comp_4,0.0
603030,comp_5,-0.423484
603034,comp_0,-0.136175
603034,comp_1,-0.512067
603034,comp_2,0.0
603034,comp_3,0.0
603034,comp_4,-0.0
603034,comp_5,-0.329981
603035,comp_0,-0.140756
603035,comp_1,-0.430485
603035,comp_2,-0.0
603035,comp_3,-0.0
603035,comp_4,-0.0
603035,comp_5,-0.329981
603037,comp_0,-1.329879
603037,comp_1,-0.07642
603037,comp_2,-0.0
603037,comp_3,0.0
603037,comp_4,0.0
603037,comp_5,-0.423484
603040,comp_0,-0.099636
603040,comp_1,-0.098139
603040,comp_2,0.0
603040,comp_3,0.0
603040,comp_4,-0.0
603040,comp_5,-0.329981
603041,comp_0,-0.097063
603041,comp_1,-1.589882
603041,comp_2,0.0
603041,comp_3,0.0
603041,comp_4,-0.0
603041,comp_5,-0.329981
603042,comp_0,-0.389556
603042,comp_1,-4.694691
603042,comp_2,-0.0
603042,comp_3,-0.0
603042,comp_4,-0.0
603042,comp_5,-6.178712
603043,comp_0,-0.431901
603043,comp_1,-4.694691
603043,comp_2,-0.0
603043,comp_3,-0.0
603043,comp_4,-0.0
603043,comp_5,-6.178712
604000,comp_0,1.819867
604000,comp_1,-7.27667
604000,comp_2,-0.0
604000,comp_3,-0.0
604000,comp_4,-0.0
604000,comp_5,-3.461838
604001,comp_0,17.379967
604001,comp_1,-5.554926
604001,comp_2,-0.0
604001,comp_3,-0.0
604001,comp_4,-38.574872
604001,comp_5,-3.461838
604002,comp_0,2.840132
604002,comp_1,-4.271591
604002,comp_2,-226.779107
604002,comp_3,3.176191
604002,comp_4,-0.53058
604002,comp_5,-3.445794
604003,comp_0,1.206744
604003,comp_1,-7.239354
604003,comp_2,-0.0
604003,comp_3,-0.0
604003,comp_4,-0.0
604003,comp_5,-3.445794
604004,comp_0,10.104418
604004,comp_1,3.313305
604004,comp_2,0.0
604004,comp_3,8.469075
604004,comp_4,-36.191663
604004,comp_5,-0.212373
604005,comp_0,0.0
604005,comp_1,-8.469075
604005,comp_2,36.191663
604005,comp_3,0.0
604005,comp_4,18.633378
604005,comp_5,-12.915339
604006,comp_0,0.0
604006,comp_1,0.0
604006,comp_2,19.287436
604006,comp_3,0.0
604006,comp_4,0.0
604006,comp_5,0.0
604007,comp_0,226.779107
604007,comp_1,-3.176191
604007,comp_2,0.53058
604007,comp_3,-30.31967
604007,comp_4,206.710641
604007,comp_5,-5.951898
604008,comp_0,1.345165
604008,comp_1,0.025482
604008,comp_2,82.4723
604008,comp_3,83.067589
604008,comp_4,-413.947909
604008,comp_5,8.904517
604009,comp_0,33.735161
604009,comp_1,-0.444811
604009,comp_2,-1.345165
604009,comp_3,-0.025482
604009,comp_4,-82.4723
604009,comp_5,-0.212373
604010,comp_0,77.460771
604010,comp_1,-4.179559
604010,comp_2,0.0
604010,comp_3,-8.469075
604010,comp_4,-174.822663
604010,comp_5,-0.212373
604011,comp_0,39.47595
604011,comp_1,-0.421443
604011,comp_2,1.345165
604011,comp_3,0.025482
604011,comp_4,-94.084977
604011,comp_5,-0.212373
604012,comp_0,-0.0
604012,comp_1,8.469075
604012,comp_2,174.822663
604012,comp_3,0.0
604012,comp_4,18.633378
604012,comp_5,-12.915339
604013,comp_0,0.0
604013,comp_1,-0.0
604013,comp_2,19.287436
604013,comp_3,0.0
604013,comp_4,0.0
604013,comp_5,0.0
604014,comp_0,-226.779107
604014,comp_1,3.176191
604014,comp_2,38.264941
604014,comp_3,30.31967
604014,comp_4,-149.16574
604014,comp_5,-3.735484
604015,comp_0,-1.345165
604015,comp_1,-0.025482
604015,comp_2,94.084977
604015,comp_3,-83.067589
604015,comp_4,297.804853
604015,comp_5,-8.826796
604017,comp_0,-8.150745
604017,comp_1,4.779444
604017,comp_2,226.779107
604017,comp_3,-3.176191
604017,comp_4,-38.264941
604017,comp_5,-1.713677
604022,comp_0,2.852959
604022,comp_1,2.930051
604022,comp_2,0.0
604022,comp_3,0.0
604022,comp_4,-0.0
604022,comp_5,-1.713677
604023,comp_0,-0.758264
604023,comp_1,6.293634
604023,comp_2,-0.0
604023,comp_3,0.0
604023,comp_4,-0.0
604023,comp_5,-1.713677
604024,comp_0,8.178646
604024,comp_1,4.54612
604024,comp_2,-0.0
604024,comp_3,0.0
604024,comp_4,-0.0
604024,comp_5,-1.713677
604028,comp_0,-35.475618
604028,comp_1,-18.422815
604028,comp_2,0.0
604028,comp_3,0.0
604028,comp_4,-0.0
604028,comp_5,-1.713677
604029,comp_0,-107.297487
604029,comp_1,-4.912249
604029,comp_2,-0.0
604029,comp_3,0.0
604029,comp_4,-0.0
604029,comp_5,-1.713677
604030,comp_0,-42.714705
604030,comp_1,10.43501
604030,comp_2,-0.0
604030,comp_3,0.0
604030,comp_4,-0.0
604030,comp_5,-1.713677
604034,comp_0,0.123638
604034,comp_1,-0.691094
604034,comp_2,-0.0
604034,comp_3,0.0
604034,comp_4,-0.0
604034,comp_5,-1.335307
604035,comp_0,0.116134
604035,comp_1,-0.704691
604035,comp_2,0.0
604035,comp_3,0.0
604035,comp_4,-0.0
604035,comp_5,-1.335307
604037,comp_0,1.357775
604037,comp_1,-0.145263
604037,comp_2,0.0
604037,comp_3,0.0
604037,comp_4,-0.0
604037,comp_5,-1.713677
604040,comp_0,0.117548
604040,comp_1,-0.500289
604040,comp_2,-0.0
604040,comp_3,0.0
604040,comp_4,-0.0
604040,comp_5,-1.335307
604041,comp_0,0.108852
604041,comp_1,-0.251665
604041,comp_2,-0.0
604041,comp_3,0.0
604041,comp_4,-0.0
604041,comp_5,-1.335307
604042,comp_0,0.295111
604042,comp_1,-9.126427
604042,comp_2,-0.0
604042,comp_3,0.0
604042,comp_4,-0.0
604042,comp_5,-25.002891
604043,comp_0,0.24293
604043,comp_1,-9.126427
604043,comp_2,-0.0
604043,comp_3,0.0
604043,comp_4,-0.0
604043,comp_5,-25.002891
