nodo,direccion,valor_kN
115,comp_0,223.6881783864152
115,comp_1,-0.6692039192546136
115,comp_2,-2.580602398438714e-12
115,comp_3,-3.197442310920451e-14
115,comp_4,-2.466915560717098e-13
115,comp_5,0.06776069084863687
117,comp_0,-190.7838961912522
117,comp_1,0.8676169995512568
117,comp_2,6.7128524960935465e-12
117,comp_3,4.973799150320701e-14
117,comp_4,-5.369038547087257e-12
117,comp_5,-0.033264296837726616
119,comp_0,0.6632598296164031
119,comp_1,-0.36010797842634407
119,comp_2,1453.1882373031879
119,comp_3,0.4611202077920063
119,comp_4,-3.9756855916908744
119,comp_5,-0.0007673618288427359
121,comp_0,-30.361830698638133
121,comp_1,1.9031565836996631
121,comp_2,4.714664214588993e-08
121,comp_3,-4.032663980524376e-09
121,comp_4,-3.0572095965908375e-09
121,comp_5,-0.033729031968611864
122,comp_0,182.03537675990756
122,comp_1,12.558835515159089
122,comp_2,5.937472735695337e-13
122,comp_3,-7.105427357601002e-15
122,comp_4,-2.4330537584660306e-13
122,comp_5,0.06776069084863769
124,comp_0,-165.45908674261338
124,comp_1,-9.014498615624442
124,comp_2,-2.33946195749013e-12
124,comp_3,-1.1102230246251565e-13
124,comp_4,-7.704947790898586e-13
124,comp_5,-0.033264296837725436
126,comp_0,13.785540682652144
126,comp_1,-5.447493483362082
126,comp_2,1170.1481009916884
126,comp_3,7.17646907430718
126,comp_4,13.342045931473633
126,comp_5,-0.0007673618288427359
128,comp_0,0.14741255145464086
128,comp_1,-0.021234560824980857
128,comp_2,0.0
128,comp_3,6.800116025829084e-16
128,comp_4,7.771561172376096e-16
128,comp_5,0.0037075935458448146
129,comp_0,-0.14741255145464086
129,comp_1,0.021234560824980857
129,comp_2,0.0
129,comp_3,-0.16817772173384907
129,comp_4,-1.1675074075207563
129,comp_5,-0.0037075935458448146
131,comp_0,0.16443987459058595
131,comp_1,-0.013702864471424998
131,comp_2,0.0
131,comp_3,4.163336342344337e-16
131,comp_4,3.552713678800501e-15
131,comp_5,0.00014014731962163615
132,comp_0,-0.16443987459058595
132,comp_1,0.013702864471424998
132,comp_2,0.0
132,comp_3,-0.16279002992052938
132,comp_4,-1.9535457101361646
132,comp_5,-0.00014014731962163615
134,comp_0,0.16440979285149734
134,comp_1,-0.013702830170696253
134,comp_2,0.0
134,comp_3,5.689893001203927e-16
134,comp_4,7.105427357601002e-15
134,comp_5,0.00014014731962163615
135,comp_0,-0.16440979285149734
135,comp_1,0.013702830170696253
135,comp_2,0.0
135,comp_3,-0.16278962242787207
135,comp_4,-1.9531883390757954
135,comp_5,-0.00014014731962163615
137,comp_0,0.16438478762026001
137,comp_1,-0.013702898772153724
137,comp_2,0.0
137,comp_3,3.608224830031759e-16
137,comp_4,5.329070518200751e-15
137,comp_5,0.00014014731962163615
138,comp_0,-0.16438478762026001
138,comp_1,0.013702898772153724
138,comp_2,0.0
138,comp_3,-0.1627904374131866
138,comp_4,-1.9528912769286941
138,comp_5,-0.00014014731962163615
140,comp_0,0.16443987459058593
140,comp_1,-0.013694872401633083
140,comp_2,0.0
